,Date,Weighted_Sentiment_Score,Like Count,Retweet Count,Follower Count,Daily_Avg_Sentiment_Score,Polarity,Tweet Volume
78,2010-03-29,157.30159999999998,0,0,1106,0.142225678119349,positive,3
79,2010-03-30,1288.0392000000002,0,0,7132,0.1806,positive,4
80,2010-03-31,9994.1846,0,0,22940,0.43566628596338275,positive,10
81,2010-04-01,188991.76399999997,0,1,497355,0.37999293061710315,positive,3
82,2010-04-02,0.0,0,0,2764,0.0,neutral,2
83,2010-04-03,31318.6716,0,0,59076,0.5301420475319927,positive,11
84,2010-04-04,4083.5236,0,0,9291,0.4395138951673663,positive,6
85,2010-04-05,11003.13,0,0,51342,0.2143105060184644,positive,7
86,2010-04-06,9761.856600000001,0,2,26776,0.3645476361192024,positive,13
87,2010-04-07,8232.0156,0,0,17984,0.45774108096085414,positive,12
88,2010-04-08,-2646.7525000000005,0,0,26377,-0.10034319672441902,negative,7
89,2010-04-09,1453.9804000000001,0,0,10696,0.13593683620044877,positive,15
90,2010-04-10,10031.072499999998,2,2,289227,0.0346818719293575,neutral,49
91,2010-04-11,54892.7855,0,8,139287,0.3940757780250547,positive,66
92,2010-04-12,12888.1751,2,11,75972,0.16961472790682372,positive,62
93,2010-04-13,62168.901999999995,0,0,146254,0.42507488342199184,positive,7
94,2010-04-14,-277.53240000000005,0,0,1080,-0.2569744444444445,negative,3
95,2010-04-15,61563.103200000005,0,2,90812,0.6779032219701808,positive,13
96,2010-04-16,178.07160000000002,0,0,2138,0.083288868101029,positive,2
97,2010-04-17,-30.466900000000003,0,0,837,-0.03640011947431303,neutral,2
98,2010-04-18,391.93600000000004,0,0,1015,0.38614384236453203,positive,2
99,2010-04-19,1517.497,0,0,4097,0.3703922382230901,positive,7
100,2010-04-20,1731.0942,0,0,11368,0.15227781491907108,positive,8
101,2010-04-21,361.647,0,0,1720,0.21025988372093024,positive,4
102,2010-04-22,0.0,0,0,139,0.0,neutral,1
103,2010-04-23,96673.3724,0,0,147416,0.6557861588972702,positive,8
104,2010-04-24,0.0,0,0,7720,0.0,neutral,3
105,2010-04-26,392.0224,0,0,5572,0.07035577889447236,positive,7
106,2010-04-27,349.67539999999997,0,0,5316,0.06577791572610985,positive,10
107,2010-04-28,1111.7718,0,0,6879,0.16161822939380724,positive,8
108,2010-04-29,0.0,0,0,3356,0.0,neutral,3
109,2010-04-30,695.7954000000001,0,0,4355,0.15976932261768084,positive,5
110,2010-05-01,18180.998199999998,0,0,28248,0.6436207235910506,positive,4
111,2010-05-02,1961.2559999999999,0,0,3670,0.5344021798365122,positive,6
112,2010-05-03,142.2492,0,0,323,0.4404,positive,1
113,2010-05-04,262.91880000000003,0,0,1167,0.22529460154241648,positive,2
114,2010-05-05,-132.02700000000004,0,0,3975,-0.03321433962264152,neutral,4
115,2010-05-06,2118.7129999999997,0,0,7444,0.28462023105857065,positive,5
116,2010-05-07,11166.9396,0,0,27062,0.4126428054097997,positive,21
117,2010-05-08,-14869.8326,0,2,1052972,-0.014121747165647014,neutral,30
118,2010-05-09,21921.362999999998,4,0,200326,0.10942626166824738,positive,34
119,2010-05-10,-4747.658000000001,0,0,200195,-0.023715167711481314,neutral,34
120,2010-05-11,24607.0724,0,0,72564,0.3391085441816879,positive,43
121,2010-05-12,101537.1467,0,2,261765,0.38789131823339074,positive,58
122,2010-05-13,6330.0513,0,0,33902,0.18671616128841956,positive,19
123,2010-05-14,1060.9144000000001,0,0,4337,0.2446194143417109,positive,11
124,2010-05-15,546.3398000000001,0,0,3546,0.1540721376198534,positive,7
125,2010-05-16,0.0,0,0,198,0.0,neutral,1
126,2010-05-17,-5488.436600000001,0,0,35404,-0.15502306519037398,negative,9
127,2010-05-18,2100.1488,0,0,28330,0.07413162019061066,positive,5
128,2010-05-19,79.5762,0,0,503,0.15820318091451294,positive,2
129,2010-05-20,962.1243,0,0,5759,0.1670644729987845,positive,11
130,2010-05-21,60.68,0,0,14088,0.004307211811470755,neutral,8
131,2010-05-22,2969.0405,0,0,10048,0.2954857185509554,positive,8
132,2010-05-23,633.6034999999998,0,0,2510,0.25243167330677285,positive,2
133,2010-05-24,-8144.7734,0,0,42385,-0.19216169399551727,negative,10
134,2010-05-25,293.01110000000006,0,2,5421,0.054031182002581606,positive,10
135,2010-05-26,31215.286399999997,0,0,53970,0.5783821826940893,positive,15
136,2010-05-27,13.141199999999994,0,0,4502,0.0029189693469569068,neutral,11
137,2010-05-28,1519.2932999999998,0,0,3953,0.3843393119150012,positive,6
138,2010-05-29,211.3166,0,0,2047,0.1032323400097704,positive,4
139,2010-05-30,526.2732000000001,0,0,2200,0.23921509090909096,positive,6
140,2010-05-31,814.4531999999999,0,0,1179,0.6908,positive,1
141,2010-06-01,0.0,0,0,5051,0.0,neutral,3
142,2010-06-03,0.0,0,0,2532,0.0,neutral,2
143,2010-06-04,123.5586,0,0,3036,0.04069782608695652,neutral,7
144,2010-06-05,1312.392,0,0,3286,0.39938892270237375,positive,3
145,2010-06-06,0.0,0,0,3667,0.0,neutral,3
146,2010-06-07,10148.9695,0,0,22352,0.45405196403006437,positive,8
147,2010-06-08,-40675.922099999996,0,4,136899,-0.29711490690488884,negative,19
148,2010-06-09,7475.1254,0,2,12211,0.6120629984442807,positive,11
149,2010-06-10,8568.4558,0,0,62296,0.13754423719018877,positive,24
150,2010-06-11,19853.412800000002,0,1,77683,0.2555663045157304,positive,45
151,2010-06-12,-21083.5697,1,3,324463,-0.06497908785793316,negative,53
152,2010-06-13,631.96,0,0,1090,0.5797798165137615,positive,2
153,2010-06-14,10510.412199999999,0,0,58844,0.1786148494323975,positive,11
154,2010-06-15,583.6158,0,0,1143,0.5106,positive,1
155,2010-06-16,-2059.9882,0,0,16394,-0.1256550079297304,negative,10
156,2010-06-17,818.4165,0,0,21123,0.03874527765942338,neutral,13
157,2010-06-18,1981.812,0,0,108068,0.01833856460746937,neutral,11
158,2010-06-19,791.4544000000001,0,0,21647,0.03656185152677046,neutral,6
159,2010-06-20,6418.706999999999,0,2,22607,0.2839005263390685,positive,11
160,2010-06-21,1471.9461000000001,0,0,9851,0.14942098264135623,positive,8
161,2010-06-22,0.0,0,0,650,0.0,neutral,1
162,2010-06-23,79.55680000000001,0,0,1494,0.05325087014725569,positive,6
163,2010-06-24,11467.6998,0,0,28545,0.4017411035207567,positive,13
164,2010-06-25,-8.970099999999888,0,0,15595,-0.0005751907662712336,neutral,14
165,2010-06-26,-2334.4169,0,0,19931,-0.11712492599468166,negative,13
166,2010-06-27,815.7051,0,0,1219,0.669159228876128,positive,3
167,2010-06-28,92.48400000000001,0,0,534,0.17319101123595507,positive,3
168,2010-06-29,1142.8339999999998,0,0,13678,0.08355271238485157,positive,8
169,2010-06-30,100.46090000000049,0,1,22035,0.004558944454528975,neutral,8
170,2010-07-01,-82.944,0,0,3827,-0.02167337339952966,neutral,4
171,2010-07-04,76468.5836,0,0,95617,0.7997383687001265,positive,4
172,2010-07-05,41.292899999999996,0,0,258,0.16005,positive,2
173,2010-07-06,3236.1558999999997,0,0,22129,0.1462404943738985,positive,12
174,2010-07-07,251.3506,0,0,23420,0.010732305721605466,neutral,6
175,2010-07-08,-40617.4826,0,2,130517,-0.3111997686160636,negative,6
176,2010-07-09,6447.5612,0,0,130489,0.04941076412571175,neutral,23
177,2010-07-10,1538.8425,0,2,80295,0.019164383476344072,neutral,24
178,2010-07-11,1634.2550000000003,1,1,40862,0.03999253621769774,neutral,39
