,Date,Tweet Volume,Polarity,Retweet,Sentiment Score,Year
101,2010-04-21,4,positive,No,0.21025988372093024,2010
102,2010-04-22,1,negative,No,0.0,2010
103,2010-04-23,8,positive,No,0.6557861588972702,2010
104,2010-04-24,3,negative,No,0.0,2010
105,2010-04-26,7,positive,No,0.07035577889447236,2010
106,2010-04-27,10,positive,No,0.06577791572610985,2010
107,2010-04-28,8,positive,No,0.16161822939380724,2010
108,2010-04-29,3,negative,No,0.0,2010
109,2010-04-30,5,positive,No,0.15976932261768084,2010
110,2010-05-01,4,positive,No,0.6436207235910506,2010
111,2010-05-02,6,positive,No,0.5344021798365122,2010
112,2010-05-03,1,positive,No,0.4404,2010
113,2010-05-04,2,positive,No,0.22529460154241648,2010
114,2010-05-05,4,negative,No,-0.03321433962264152,2010
115,2010-05-06,5,positive,No,0.28462023105857065,2010
116,2010-05-07,21,positive,No,0.4126428054097997,2010
117,2010-05-08,30,negative,Yes,-0.014121747165647014,2010
118,2010-05-09,34,positive,No,0.10942626166824738,2010
119,2010-05-10,34,negative,No,-0.023715167711481314,2010
120,2010-05-11,43,positive,No,0.3391085441816879,2010
121,2010-05-12,58,positive,Yes,0.38789131823339074,2010
122,2010-05-13,19,positive,No,0.18671616128841956,2010
123,2010-05-14,11,positive,No,0.2446194143417109,2010
124,2010-05-15,7,positive,No,0.1540721376198534,2010
125,2010-05-16,1,negative,No,0.0,2010
126,2010-05-17,9,negative,No,-0.15502306519037398,2010
127,2010-05-18,5,positive,No,0.07413162019061066,2010
128,2010-05-19,2,positive,No,0.15820318091451294,2010
129,2010-05-20,11,positive,No,0.1670644729987845,2010
130,2010-05-21,8,positive,No,0.004307211811470755,2010
131,2010-05-22,8,positive,No,0.2954857185509554,2010
132,2010-05-23,2,positive,No,0.25243167330677285,2010
133,2010-05-24,10,negative,No,-0.19216169399551727,2010
134,2010-05-25,10,positive,Yes,0.054031182002581606,2010
135,2010-05-26,15,positive,No,0.5783821826940893,2010
136,2010-05-27,11,positive,No,0.0029189693469569068,2010
137,2010-05-28,6,positive,No,0.3843393119150012,2010
138,2010-05-29,4,positive,No,0.1032323400097704,2010
139,2010-05-30,6,positive,No,0.23921509090909096,2010
140,2010-05-31,1,positive,No,0.6908,2010
141,2010-06-01,3,negative,No,0.0,2010
142,2010-06-03,2,negative,No,0.0,2010
143,2010-06-04,7,positive,No,0.04069782608695652,2010
144,2010-06-05,3,positive,No,0.39938892270237375,2010
145,2010-06-06,3,negative,No,0.0,2010
146,2010-06-07,8,positive,No,0.45405196403006437,2010
147,2010-06-08,19,negative,Yes,-0.29711490690488884,2010
148,2010-06-09,11,positive,Yes,0.6120629984442807,2010
149,2010-06-10,24,positive,No,0.13754423719018877,2010
150,2010-06-11,45,positive,Yes,0.2555663045157304,2010
151,2010-06-12,53,negative,Yes,-0.06497908785793316,2010
152,2010-06-13,2,positive,No,0.5797798165137615,2010
153,2010-06-14,11,positive,No,0.1786148494323975,2010
154,2010-06-15,1,positive,No,0.5106,2010
155,2010-06-16,10,negative,No,-0.1256550079297304,2010
156,2010-06-17,13,positive,No,0.03874527765942338,2010
157,2010-06-18,11,positive,No,0.01833856460746937,2010
158,2010-06-19,6,positive,No,0.03656185152677046,2010
159,2010-06-20,11,positive,Yes,0.2839005263390685,2010
160,2010-06-21,8,positive,No,0.14942098264135623,2010
161,2010-06-22,1,negative,No,0.0,2010
162,2010-06-23,6,positive,No,0.05325087014725569,2010
163,2010-06-24,13,positive,No,0.4017411035207567,2010
164,2010-06-25,14,negative,No,-0.0005751907662712336,2010
165,2010-06-26,13,negative,No,-0.11712492599468166,2010
166,2010-06-27,3,positive,No,0.669159228876128,2010
167,2010-06-28,3,positive,No,0.17319101123595507,2010
168,2010-06-29,8,positive,No,0.08355271238485157,2010
169,2010-06-30,8,positive,Yes,0.004558944454528975,2010
170,2010-07-01,4,negative,No,-0.02167337339952966,2010
171,2010-07-04,4,positive,No,0.7997383687001265,2010
