,Date,Like Count,Retweet Count,Follower Count,Daily_Avg_Sentiment_Score,Tweet Volume,Polarity
97,2013-10-28,1.0,0.0,22335.0,0.3025193552719947,3,positive
98,2013-10-29,0.0,0.0,11251.0,0.4144872100257755,2,positive
99,2013-10-30,0.0,0.0,117.0,0.0,1,negative
100,2013-11-06,0.0,0.0,352.0,0.3818,1,positive
101,2013-11-10,1.0,0.0,3186.0,0.2679300062774639,2,positive
102,2013-11-12,0.0,0.0,1124.0,-0.24797313167259785,2,negative
103,2013-11-13,0.0,0.0,680.0,0.3818,1,positive
104,2013-11-14,0.0,0.0,331.0,0.3818,1,positive
105,2013-11-16,0.0,0.0,682.0,0.3818,1,positive
106,2013-11-17,0.0,0.0,583.0,0.3818,1,positive
107,2013-11-18,1.0,2.0,1367.0,0.4598068763716166,1,positive
108,2013-11-21,0.0,0.0,10589.0,0.0,1,negative
109,2013-11-22,0.0,0.0,11136.0,0.0,2,negative
110,2013-11-25,0.0,0.0,23822.0,0.0,2,negative
111,2013-11-26,0.0,0.0,10589.0,0.0,1,negative
112,2013-11-29,0.0,0.0,2544.0,0.6597,1,positive
113,2013-12-03,0.0,0.0,177.0,0.0,1,negative
114,2013-12-19,0.0,0.0,531.0,0.0,1,negative
115,2013-12-24,0.0,0.0,42.0,0.765,1,positive
116,2014-01-02,0.0,0.0,1534.0,0.8117499999999999,2,positive
117,2014-01-04,0.0,0.0,829.0,0.0,1,negative
118,2014-01-07,0.0,0.0,9850.0,0.3818,1,positive
119,2014-01-20,0.0,0.0,30093.0,0.0,2,negative
120,2014-01-21,0.0,0.0,436.0,0.5574,1,positive
121,2014-01-22,0.0,0.0,1130.0,0.0,1,negative
122,2014-01-23,0.0,0.0,379.0,0.5853039577836411,2,positive
123,2014-01-29,0.0,0.0,376.0,0.5106,1,positive
124,2014-02-05,0.0,0.0,10751.0,-0.13948421542182124,3,negative
125,2014-02-07,0.0,0.0,801.0,0.0,1,negative
126,2014-02-11,0.0,0.0,1570.0,0.0,1,negative
127,2014-02-12,0.0,0.0,419.0,0.3612,1,positive
128,2014-02-15,0.0,0.0,1123.0,0.0,1,negative
129,2014-02-22,0.0,0.0,4029.0,-0.0572,1,negative
130,2014-02-24,0.0,0.0,9998.0,0.6499344868973794,3,positive
131,2014-02-26,0.0,0.0,4750.0,0.0,1,negative
132,2014-03-12,1.0,1.0,4323.0,0.031503492944714315,2,positive
133,2014-03-17,0.0,0.0,148.0,0.6369,2,positive
134,2014-04-03,0.0,0.0,1570.0,0.0,1,negative
135,2014-04-04,0.0,0.0,801.0,0.6369,1,positive
136,2014-04-09,0.0,1.0,155.0,0.44324129032258064,1,positive
137,2014-04-13,0.0,0.0,672.0,0.0,1,negative
138,2014-04-23,0.0,0.0,752.0,0.2553,2,positive
139,2014-05-01,0.0,0.0,4246.0,0.6705,1,positive
140,2014-05-09,0.0,1.0,2034.0,0.0,1,negative
141,2014-05-26,0.0,0.0,4246.0,0.0,1,negative
142,2014-06-06,0.0,1.0,2559.0,0.4405720984759672,1,positive
143,2014-06-14,0.0,0.0,74.0,0.0,1,negative
144,2014-06-15,0.0,0.0,74.0,0.4019,1,positive
145,2014-06-16,0.0,0.0,2762072.0,0.0,2,negative
146,2014-06-19,1.0,1.0,5614.0,0.3253158532240827,1,positive
147,2014-06-20,1.0,1.0,28.0,0.387,1,positive
148,2014-06-26,1.0,0.0,8227.0,0.0,3,negative
149,2014-06-27,0.0,0.0,2834.0,-0.3818,1,negative
150,2014-07-10,0.0,0.0,139.0,0.5106,1,positive
151,2014-07-11,0.0,0.0,2834.0,0.3182,1,positive
152,2014-07-15,0.0,0.0,2834.0,0.6808,1,positive
153,2014-07-17,0.0,0.0,2855.0,0.31135495621716286,2,positive
154,2014-07-20,0.0,0.0,2834.0,0.6808,1,positive
155,2014-07-21,2.0,3.0,2706.0,-0.009992904656319291,2,negative
156,2014-07-25,0.0,0.0,2834.0,0.0,1,negative
157,2014-07-29,0.0,0.0,2834.0,0.0,1,negative
158,2014-07-31,0.0,0.0,2834.0,0.3182,1,positive
159,2014-08-03,0.0,0.0,8502.0,0.46696666666666664,3,positive
160,2014-08-16,0.0,0.0,2834.0,0.6808,1,positive
161,2014-08-21,1.0,1.0,17417.0,0.45885268415915487,1,positive
162,2014-08-28,0.0,1.0,3060.0,0.0,1,negative
163,2014-08-30,0.0,0.0,66.0,0.6369,1,positive
164,2014-09-17,0.0,0.0,246.0,0.0,1,negative
165,2014-09-26,3.0,3.0,2559.0,0.44143259085580305,1,positive
166,2014-10-09,0.0,0.0,1786.0,0.0,1,negative
167,2014-10-27,0.0,0.0,245.0,0.0,1,negative
168,2014-11-02,0.0,0.0,32596.0,0.0,1,negative
169,2014-11-03,4.0,2.0,1394784.0,0.7964034259068069,2,positive
170,2014-11-04,29.0,61.0,74504.0,0.25431947949103406,33,positive
171,2014-11-05,0.0,0.0,4.0,0.6369,1,positive
172,2014-11-12,89.0,23.0,1967686.0,0.2859604632548079,2,positive
173,2014-11-14,0.0,0.0,800.0,0.34,1,positive
174,2014-11-17,1.0,1.0,9.0,0.3889111111111111,1,positive
175,2014-11-18,0.0,0.0,11140.0,0.45880000000000004,1,positive
176,2014-11-19,4.0,2.0,10284.0,0.0,1,negative
177,2014-11-24,1.0,0.0,292.0,0.518393493150685,2,positive
178,2014-11-26,0.0,0.0,376.0,0.2023,1,positive
179,2014-12-02,0.0,0.0,23973.0,0.5859,1,positive
180,2014-12-03,0.0,0.0,902.0,0.5859,1,positive
181,2014-12-14,0.0,0.0,1510.0,0.4588,1,positive
182,2014-12-20,0.0,0.0,227.0,0.5423,1,positive
183,2014-12-26,0.0,0.0,35390.0,0.0,2,negative
184,2014-12-27,1.0,1.0,9.0,0.5607555555555556,1,positive
185,2014-12-29,5.0,3.0,61826.0,0.5324158881376768,4,positive
186,2014-12-30,0.0,0.0,2153.0,0.4019,1,positive
187,2014-12-31,3.0,1.0,17695.0,0.0,1,negative
188,2015-01-01,0.0,0.0,26369.0,0.0,5,negative
189,2015-01-03,0.0,2.0,17482.0,0.5896674522365862,2,positive
190,2015-01-05,1.0,1.0,17708.0,0.0,2,negative
191,2015-01-06,0.0,0.0,2533.0,0.3612,1,positive
192,2015-01-07,4.0,5.0,22779.0,-0.5649357214978709,6,negative
193,2015-01-08,5.0,3.0,46391.0,-0.16979391261236015,4,negative
194,2015-01-09,2.0,1.0,35390.0,-0.24696395591975137,2,negative
195,2015-01-11,0.0,0.0,29408.0,-0.6808,1,negative
196,2015-01-12,1.0,2.0,17695.0,0.0,1,negative
197,2015-01-14,2.0,1.0,8741.0,-0.6599264157419059,1,negative
